Character,Sentence,Word,POS,Tag,Dependency
HARRY ,"i can ’ t let you out , hedwig .","['i', 'can', '’', 't', 'let', 'you', 'out', ',', 'hedwig', '.']","['PRON', 'AUX', 'PUNCT', 'PROPN', 'VERB', 'PRON', 'ADP', 'PUNCT', 'PROPN', 'PUNCT']","['PRP', 'MD', ""''"", 'NNP', 'VB', 'PRP', 'RP', ',', 'NNP', '.']","['nsubj', 'aux', 'punct', 'nsubj', 'ROOT', 'nsubj', 'ccomp', 'punct', 'npadvmod', 'punct']"
HARRY ,i ’ m not allowed to use magic outside of school .,"['i', '’', 'm', 'not', 'allowed', 'to', 'use', 'magic', 'outside', 'of', 'school', '.']","['PRON', 'PUNCT', 'AUX', 'PART', 'VERB', 'PART', 'VERB', 'NOUN', 'ADV', 'ADP', 'NOUN', 'PUNCT']","['PRP', ""''"", 'VBP', 'RB', 'VBN', 'TO', 'VB', 'NN', 'RB', 'IN', 'NN', '.']","['nsubjpass', 'punct', 'auxpass', 'neg', 'ROOT', 'aux', 'xcomp', 'dobj', 'advmod', 'prep', 'pobj', 'punct']"
HARRY ,"besides , if uncle vernon…","['besides', ',', 'if', 'uncle', 'vernon', '…']","['ADV', 'PUNCT', 'SCONJ', 'PROPN', 'NOUN', 'PUNCT']","['RB', ',', 'IN', 'NNP', 'NN', 'NFP']","['ROOT', 'punct', 'mark', 'compound', 'meta', 'punct']"
VERNON,harry potter !,"['harry', 'potter', '!']","['PROPN', 'PROPN', 'PUNCT']","['NNP', 'NNP', '.']","['compound', 'ROOT', 'punct']"
HARRY,now you ’ ve done it .,"['now', 'you', '’', 've', 'done', 'it', '.']","['ADV', 'PRON', 'PUNCT', 'AUX', 'VERB', 'PRON', 'PUNCT']","['RB', 'PRP', ""''"", 'VBP', 'VBN', 'PRP', '.']","['advmod', 'nsubj', 'punct', 'aux', 'ROOT', 'dobj', 'punct']"
PETUNIA,he ’ s in there . vernon ...,"['he', '’', 's', 'in', 'there', '.', 'vernon', '...']","['PRON', 'PUNCT', 'VERB', 'ADV', 'ADV', 'PUNCT', 'NOUN', 'PUNCT']","['PRP', ""''"", 'VBZ', 'RB', 'RB', '.', 'NN', '.']","['nsubj', 'punct', 'ROOT', 'advmod', 'advmod', 'punct', 'ROOT', 'punct']"
UNCLE VERNON,"i ’ m warning you , if you can ’ t control that bloody bird it ’ ll have to go .","['i', '’', 'm', 'warning', 'you', ',', 'if', 'you', 'can', '’', 't', 'control', 'that', 'bloody', 'bird', 'it', '’', 'll', 'have', 'to', 'go', '.']","['PRON', 'PUNCT', 'AUX', 'VERB', 'PRON', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'PUNCT', 'NOUN', 'VERB', 'SCONJ', 'ADJ', 'NOUN', 'PRON', 'PUNCT', 'AUX', 'VERB', 'PART', 'VERB', 'PUNCT']","['PRP', ""''"", 'VBP', 'VBG', 'PRP', ',', 'IN', 'PRP', 'MD', ""''"", 'NN', 'VB', 'IN', 'JJ', 'NN', 'PRP', ""''"", 'MD', 'VB', 'TO', 'VB', '.']","['nsubj', 'punct', 'aux', 'ROOT', 'dobj', 'punct', 'mark', 'nsubj', 'aux', 'punct', 'nsubj', 'ccomp', 'det', 'amod', 'dobj', 'nsubj', 'punct', 'aux', 'ccomp', 'aux', 'xcomp', 'punct']"
HARRY,but she ’ s bored !,"['but', 'she', '’', 's', 'bored', '!']","['CCONJ', 'PRON', 'PUNCT', 'VERB', 'ADJ', 'PUNCT']","['CC', 'PRP', ""''"", 'VBZ', 'JJ', '.']","['cc', 'nsubj', 'punct', 'ROOT', 'acomp', 'punct']"
HARRY,if i could only let out for an hour or two,"['if', 'i', 'could', 'only', 'let', 'out', 'for', 'an', 'hour', 'or', 'two']","['SCONJ', 'PRON', 'AUX', 'ADV', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NUM']","['IN', 'PRP', 'MD', 'RB', 'VB', 'RP', 'IN', 'DT', 'NN', 'CC', 'CD']","['mark', 'nsubj', 'aux', 'advmod', 'ROOT', 'prt', 'prep', 'det', 'pobj', 'cc', 'nummod']"
VERNON,"huh , huh ! so you could send secret messages to you freaky little friends . no , sir !","['huh', ',', 'huh', '!', 'so', 'you', 'could', 'send', 'secret', 'messages', 'to', 'you', 'freaky', 'little', 'friends', '.', 'no', ',', 'sir', '!']","['INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'ADV', 'PRON', 'AUX', 'VERB', 'ADJ', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT', 'NOUN', 'PUNCT']","['UH', ',', 'UH', '.', 'RB', 'PRP', 'MD', 'VB', 'JJ', 'NNS', 'IN', 'PRP', 'VBP', 'JJ', 'NNS', '.', 'UH', ',', 'NN', '.']","['ROOT', 'punct', 'intj', 'punct', 'advmod', 'nsubj', 'aux', 'ROOT', 'amod', 'dobj', 'dative', 'pobj', 'acl', 'amod', 'dobj', 'punct', 'ROOT', 'punct', 'npadvmod', 'punct']"
